DMS_id,lam,rho,rho_base,gain,corr_w_after,corr_w_before,ds_rms,final_M
KRAS_RAF1-RBD_norfitness_6VJJ,0.001,0.47040162925738316,0.44129515556233045,0.029106473695052704,-0.020944271894185667,-0.0045323971205319955,3.857987642288208,
KRAS_RAF1-RBD_norfitness_6VJJ,0.003,0.4809157328380489,0.44129515556233045,0.03962057727571844,-0.021532662556023402,-0.0045323971205319955,3.470867395401001,
KRAS_RAF1-RBD_norfitness_6VJJ,0.01,0.4357019887803548,0.44129515556233045,-0.005593166781975634,-0.019780055599936428,-0.0045323971205319955,3.6801254749298096,
KRAS_RAF1-RBD_norfitness_6VJJ,0.03,0.46329936800389165,0.44129515556233045,0.0220042124415612,-0.017595670259130804,-0.0045323971205319955,3.6687779426574707,
KRAS_RAF1-RBD_norfitness_6VJJ,0.1,0.4530904304912135,0.44129515556233045,0.011795274928883048,-0.013222894840021503,-0.0045323971205319955,3.4550211429595947,
KRAS_RAF1-RBD_norfitness_6VJJ,0.3,0.43758558316678503,0.44129515556233045,-0.003709572395545424,-0.009317706305797674,-0.0045323971205319955,3.3619978427886963,
KRAS_RAF1-RBD_norfitness_6VJJ,1.0,0.4319362566519944,0.44129515556233045,-0.009358898910336033,-0.006758401031863736,-0.0045323971205319955,3.7976505756378174,
KRAS_RAF1-RBD_norfitness_6VJJ,3.0,0.426500417634703,0.44129515556233045,-0.014794737927627477,-0.005712740735818084,-0.0045323971205319955,3.2852234840393066,
KRAS_RAF1-RBD_norfitness_6VJJ,0.003,0.4915308980214787,0.44129515556233045,0.05023574245914825,-0.01951331733360566,-0.005313695716978422,3.976783037185669,5.0
PSD95_CRIPT_1BE9,0.001,0.13476647608796608,0.3671972647143384,-0.23243078862637231,-0.2561864119587997,-0.013256236055677778,2.4166314601898193,
PSD95_CRIPT_1BE9,0.003,0.16126325280642223,0.3671972647143384,-0.20593401190791616,-0.253012515402021,-0.013256236055677778,2.6300666332244873,
PSD95_CRIPT_1BE9,0.01,0.17717789991095909,0.3671972647143384,-0.1900193648033793,-0.24741962113208144,-0.013256236055677778,2.681056261062622,
PSD95_CRIPT_1BE9,0.03,0.20118964124203048,0.3671972647143384,-0.1660076234723079,-0.22921589564076333,-0.013256236055677778,2.294919967651367,
PSD95_CRIPT_1BE9,0.1,0.2711281049799525,0.3671972647143384,-0.0960691597343859,-0.17416652467397736,-0.013256236055677778,1.9497811794281006,
PSD95_CRIPT_1BE9,0.3,0.33021828770578243,0.3671972647143384,-0.03697897700855596,-0.10249517487071674,-0.013256236055677778,1.3533021211624146,
PSD95_CRIPT_1BE9,1.0,0.35199112238342506,0.3671972647143384,-0.01520614233091333,-0.04481798727796233,-0.013256236055677778,1.1055999994277954,
PSD95_CRIPT_1BE9,3.0,0.3561881503617593,0.3671972647143384,-0.011009114352579064,-0.023792147304488913,-0.013256236055677778,1.3099273443222046,
PSD95_CRIPT_1BE9,3.0,0.3920513633530517,0.3671972647143384,0.024854098638713296,-0.016388127515439502,-0.011749828922856285,1.1173791885375977,5.0
