lam,step,l_div,l_anchor
0.03,0,-0.06386107951402664,0.6070271730422974
0.03,50,-0.42375075817108154,0.5121721625328064
0.03,100,-0.5913429856300354,1.2639163732528687
0.03,150,-0.5664970874786377,1.1060341596603394
0.03,200,-0.7264919281005859,1.4803613424301147
0.03,250,-0.6714586019515991,1.8179951906204224
0.03,299,-0.8053010702133179,1.778608798980713
0.1,0,-0.06540845334529877,0.6392960548400879
0.1,50,-0.3953719139099121,0.3085438907146454
0.1,100,-0.3925853371620178,0.49385085701942444
0.1,150,-0.5053525567054749,0.5851120352745056
0.1,200,-0.5227113962173462,0.6399801969528198
0.1,250,-0.5381453633308411,1.0286887884140015
0.1,299,-0.6685861349105835,0.9144017696380615
0.3,0,-0.08395315706729889,0.59266197681427
0.3,50,-0.24745026230812073,0.33492863178253174
0.3,100,-0.22342449426651,0.282941997051239
0.3,150,-0.3234480619430542,0.30648893117904663
0.3,200,-0.4223204553127289,0.40221932530403137
0.3,250,-0.27771925926208496,0.6092936992645264
0.3,299,-0.5219775438308716,0.4541330933570862
1.0,0,-0.08586328476667404,0.6820934414863586
1.0,50,-0.16856080293655396,0.26706835627555847
1.0,100,-0.1470249891281128,0.3522464334964752
1.0,150,-0.20133838057518005,0.38434037566185
1.0,200,-0.21262453496456146,0.5182731747627258
1.0,250,-0.04402438923716545,0.23098084330558777
1.0,299,-0.29628124833106995,0.2151089459657669
3.0,0,-0.10548603534698486,0.5769230127334595
3.0,50,-0.1776271015405655,0.3365934491157532
3.0,100,-0.16277672350406647,0.3501053750514984
3.0,150,-0.20047399401664734,0.3210562467575073
3.0,200,-0.16061942279338837,0.2183777391910553
3.0,250,0.006087213754653931,0.6411184072494507
3.0,299,-0.250060498714447,0.16920678317546844
10.0,0,-0.07821357250213623,0.496663898229599
10.0,50,-0.18681518733501434,0.34781691431999207
10.0,100,-0.16318826377391815,0.3299640119075775
10.0,150,-0.1713322252035141,0.32033130526542664
10.0,200,-0.16239646077156067,0.5541672706604004
10.0,250,0.034085340797901154,0.1973486691713333
10.0,299,-0.20724168419837952,0.20489661395549774
30.0,0,-0.053259167820215225,0.5641717314720154
30.0,50,-0.21545103192329407,0.22041726112365723
30.0,100,-0.14984525740146637,0.3129831552505493
30.0,150,-0.1976562887430191,0.24242980778217316
30.0,200,-0.16748081147670746,0.23096239566802979
30.0,250,-0.02746102586388588,0.2789973020553589
30.0,299,-0.23870936036109924,0.20557013154029846
